method,prequential_nll_mean,heldout_nll_mean,prequential_accuracy_mean,heldout_accuracy_mean,heldout_brier_mean,atoms_mean,edges_mean,cells_mean,edge_precision_mean,edge_recall_mean,edge_f1_mean,true_edges_mean,false_edges_mean
repair_only,0.6971665904471255,0.6940688007797554,0.5021566666666667,0.5025333333333334,0.25045957183126033,100.0,0.0,100.0,,,,,
frequency_only,0.23814898847871105,0.09570301284504973,0.8762066666666666,0.9811333333333334,0.018614197989749375,200.0,100.0,200.0,1.0,1.0,1.0,100.0,0.0
additive_logistic,0.6992671615003617,0.6966463013678923,0.5049333333333333,0.5083,0.2517253564863109,121.0,0.0,121.0,,,,,
cross_product_memory,0.16912194837751676,0.11249598031840144,0.9478833333333334,0.9811333333333334,0.02086191986634666,2000.0,0.0,2000.0,,,,,
crossed_logistic,0.12571770446299327,0.09725811558932607,0.9778766666666666,0.9811333333333334,0.018795851103771685,2001.0,0.0,2001.0,,,,,
cache_200,0.590277238318698,0.5857939186087717,0.6412,0.6866333333333333,0.1993963066724577,200.0,0.0,200.0,,,,,
cache_500,0.5009774728455808,0.49693743178680816,0.7296466666666666,0.7056,0.1605226461530576,500.0,0.0,500.0,,,,,
cache_2000,0.3696081405512703,0.3673389881379782,0.8122366666666666,0.8623166666666668,0.11167287375550417,2000.0,0.0,2000.0,,,,,
local_stump,0.23018800194982275,0.09551325678678542,0.8779399999999999,0.9811333333333334,0.018599979454300246,200.0,100.0,200.0,1.0,1.0,1.0,100.0,0.0
dgm_hqs,0.23018800194982275,0.09551325678678542,0.8779399999999999,0.9811333333333334,0.018599979454300246,200.0,100.0,200.0,1.0,1.0,1.0,100.0,0.0
oracle_refined,0.10870095900232031,0.09518942954484,0.97847,0.9811333333333334,0.018586430336789157,200.0,100.0,200.0,,,,,
